Establishment ID,Email on file,Postal First,Club,Business Building,Small Hotel,Small Restaurant,Large Hotel Chain,Concert Facility,Stadium/Sports Facility,Karaoke Bar,Other,Large Restaurant Chain,Days Since License Effective,Previous Infraction,Current Infraction
1,N,M,0,0,1,0,0,0,0,0,0,0,279,0,0
2,N,L,0,0,1,0,0,0,0,0,0,0,1104,0,1
3,N,P,0,0,1,0,0,0,0,0,0,0,433,0,1
4,N,K,0,0,1,0,0,0,0,0,0,0,940,0,1
5,N,P,0,0,0,0,0,0,0,0,0,1,51,0,1
6,Y,P,0,0,1,0,0,0,0,0,0,0,240,0,1
7,N,L,0,0,1,0,0,0,0,0,0,0,589,0,1
8,N,L,0,0,0,0,0,0,1,0,0,0,100,0,0
9,N,N,0,0,1,0,0,0,0,0,0,0,624,0,0
10,N,P,0,0,0,0,0,0,1,0,0,0,127,0,0
11,N,L,0,0,1,0,0,0,0,0,0,0,1883,0,0
12,N,P,0,0,0,0,0,0,1,0,0,0,1301,1,1
13,N,P,0,0,1,0,0,0,0,0,0,0,334,0,0
14,Y,K,0,0,0,0,0,0,0,0,0,1,88,0,0
15,N,L,0,0,0,0,0,0,0,1,0,0,1980,0,0
16,N,L,0,0,0,0,0,0,1,0,0,0,127,0,0
17,N,M,0,0,1,0,0,0,0,0,0,0,408,0,0
18,N,L,0,0,0,0,0,0,1,0,0,0,652,0,0
19,N,L,0,0,1,0,0,0,0,0,0,0,613,0,0
20,Y,L,0,0,0,0,0,0,1,0,0,0,277,0,0
21,N,P,1,0,0,0,0,0,0,0,0,0,122,0,0
22,N,L,0,0,0,0,0,0,1,0,0,0,561,1,1
23,N,N,0,0,1,0,0,0,0,0,0,0,722,0,0
24,N,L,0,0,1,0,0,0,0,0,0,0,274,0,0
25,N,N,0,0,0,0,0,0,1,0,0,0,61,0,0
26,N,L,0,0,1,0,0,0,0,0,0,0,705,0,0
27,N,L,0,0,1,0,0,0,0,0,0,0,888,0,0
28,N,K,0,0,1,0,0,0,0,0,0,0,113,0,0
29,Y,N,0,0,0,0,0,0,1,0,0,0,372,0,0
30,N,N,0,0,1,0,0,0,0,0,0,0,183,0,0
31,Y,N,0,0,0,1,0,0,0,0,0,0,418,0,0
32,Y,L,0,0,0,0,0,0,0,0,0,1,276,0,0
33,Y,L,0,0,0,0,0,0,1,0,0,0,208,0,0
34,N,K,0,0,0,0,0,0,1,0,0,0,219,0,0
35,N,P,0,0,1,0,0,0,0,0,0,0,27,0,0
36,Y,L,0,0,0,0,0,0,1,0,0,0,627,0,0
37,N,N,0,0,1,0,0,0,0,0,0,0,228,0,0
38,N,M,0,0,1,0,0,0,0,0,0,0,684,0,1
39,N,M,0,0,0,0,0,0,0,0,0,1,470,0,1
40,Y,P,0,0,0,0,0,0,1,0,0,0,431,0,0
41,N,K,0,0,1,0,0,0,0,0,0,0,104,0,0
42,N,P,0,0,1,0,0,0,0,0,0,0,705,0,0
43,N,K,0,0,0,0,0,0,0,1,0,0,654,0,0
44,N,N,0,0,0,0,0,0,1,0,0,0,179,0,0
45,N,N,0,0,1,0,0,0,0,0,0,0,28,0,0
46,N,N,0,0,1,0,0,0,0,0,0,0,89,0,0
47,N,N,0,0,0,0,0,0,1,0,0,0,576,0,0
48,N,N,0,0,0,0,0,0,0,0,0,1,1865,0,0
49,N,K,0,0,1,0,0,0,0,0,0,0,936,0,0
50,N,L,0,0,1,0,0,0,0,0,0,0,522,0,0
51,N,K,0,0,0,0,0,0,1,0,0,0,1543,0,0
52,N,N,0,0,1,0,0,0,0,0,0,0,466,0,0
53,Y,P,0,0,0,0,0,0,0,0,0,1,125,0,1
54,N,P,0,0,1,0,0,0,0,0,0,0,1001,0,0
55,Y,N,0,0,1,0,0,0,0,0,0,0,402,0,0
56,N,N,0,0,1,0,0,0,0,0,0,0,480,0,0
57,N,M,0,0,0,1,0,0,0,0,0,0,305,0,1
58,N,P,0,0,1,0,0,0,0,0,0,0,42,0,0
59,N,N,0,0,1,0,0,0,0,0,0,0,204,0,0
60,N,P,0,0,0,1,0,0,0,0,0,0,150,0,0
61,N,L,0,0,1,0,0,0,0,0,0,0,600,0,0
62,Y,P,0,0,0,0,0,0,0,0,0,0,408,0,1
63,N,M,0,0,0,0,0,0,0,1,0,0,1069,0,1
64,N,L,0,0,1,0,0,0,0,0,0,0,270,0,0
65,N,P,0,0,1,0,0,0,0,0,0,0,385,0,0
66,N,L,0,0,1,0,0,0,0,0,0,0,730,0,0
67,N,M,0,0,1,0,0,0,0,0,0,0,971,0,1
68,N,L,0,0,0,0,0,0,1,0,0,0,1195,0,0
69,N,L,0,0,1,0,0,0,0,0,0,0,137,0,0
70,N,L,0,0,1,0,0,0,0,0,0,0,72,0,0
71,N,N,0,0,1,0,0,0,0,0,0,0,230,0,0
72,N,P,0,0,0,0,0,0,1,0,0,0,277,0,0
73,N,P,0,0,1,0,0,0,0,0,0,0,1109,0,0
74,Y,P,0,0,0,0,0,0,1,0,0,0,167,0,0
75,N,L,0,0,1,0,0,0,0,0,0,0,184,0,0
76,N,L,0,0,0,0,0,0,1,0,0,0,1866,0,0
77,Y,L,0,0,1,0,0,0,0,0,0,0,482,0,0
78,N,K,0,0,1,0,0,0,0,0,0,0,1833,0,0
79,Y,P,0,0,0,0,0,0,1,0,0,0,2021,0,0
80,Y,P,0,0,0,0,0,0,1,0,0,0,720,0,1
81,N,P,0,0,0,0,0,0,0,1,0,0,99,0,0
82,N,P,0,0,0,0,0,0,1,0,0,0,180,0,0
83,Y,L,0,0,0,0,0,0,1,0,0,0,224,0,0
84,N,L,0,0,1,0,0,0,0,0,0,0,394,0,0
85,N,N,0,0,0,0,0,1,0,0,0,0,463,0,0
86,N,L,0,0,0,0,0,0,0,0,0,1,772,0,0
87,N,M,0,0,1,0,0,0,0,0,0,0,576,0,1
88,N,M,0,0,0,0,0,0,0,0,0,1,525,0,1
89,N,L,0,0,0,1,0,0,0,0,0,0,802,0,0
90,N,P,0,0,0,0,0,0,1,0,0,0,217,0,0
91,Y,P,0,0,0,0,0,0,1,0,0,0,360,0,0
92,N,M,0,0,1,0,0,0,0,0,0,0,573,0,1
93,N,K,0,0,0,0,0,0,1,0,0,0,132,0,0
94,N,K,0,0,1,0,0,0,0,0,0,0,1667,0,0
95,N,P,0,0,1,0,0,0,0,0,0,0,67,0,0
96,N,P,0,0,0,1,0,0,0,0,0,0,550,0,0
97,N,P,0,0,1,0,0,0,0,0,0,0,1912,0,0
98,Y,N,0,0,0,0,0,0,0,1,0,0,1930,0,0
99,N,K,0,0,0,1,0,0,0,0,0,0,600,0,0
100,N,P,0,0,1,0,0,0,0,0,0,0,1953,0,0
101,N,P,0,0,1,0,0,0,0,0,0,0,1156,0,0
102,N,P,0,0,1,0,0,0,0,0,0,0,1953,0,0
103,Y,N,0,0,1,0,0,0,0,0,0,0,177,0,0
104,N,N,0,0,0,1,0,0,0,0,0,0,688,0,0
105,N,N,0,0,1,0,0,0,0,0,0,0,33,0,0
106,N,N,0,0,0,1,0,0,0,0,0,0,1314,0,0
107,N,K,0,0,1,0,0,0,0,0,0,0,304,0,0
108,N,P,0,0,1,0,0,0,0,0,0,0,982,0,0
109,N,P,0,0,0,0,0,0,1,0,0,0,498,0,0
110,N,P,0,0,0,0,0,0,1,0,0,0,191,0,0
111,N,P,0,0,1,0,0,0,0,0,0,0,1997,0,0
112,N,P,0,0,1,0,0,0,0,0,0,0,338,0,0
113,N,P,0,0,1,0,0,0,0,0,0,0,531,0,0
114,Y,L,0,0,0,0,0,0,0,0,0,1,1992,0,0
115,N,K,0,0,0,0,0,0,1,0,0,0,259,0,0
116,N,P,0,0,0,1,0,0,0,0,0,0,310,0,0
117,Y,P,0,0,1,0,0,0,0,0,0,0,1035,0,0
118,N,K,0,0,1,0,0,0,0,0,0,0,1981,0,0
119,Y,K,0,0,0,0,0,0,0,0,0,1,1236,0,0
120,N,N,0,0,1,0,0,0,0,0,0,0,1847,0,0
121,N,K,0,0,0,0,0,0,1,0,0,0,408,0,0
122,Y,K,0,0,0,0,0,0,1,0,0,0,93,0,0
123,N,K,0,0,0,1,0,0,0,0,0,0,136,0,0
124,N,L,0,0,1,0,0,0,0,0,0,0,1911,0,0
125,N,L,0,0,1,0,0,0,0,0,0,0,119,0,0
126,N,K,0,0,0,0,1,0,0,0,0,0,1164,0,0
127,N,L,0,0,0,0,1,0,0,0,0,0,158,0,0
128,N,L,0,0,0,0,0,0,1,0,0,0,42,0,0
129,Y,N,0,0,0,0,0,0,0,0,0,1,1773,0,0
130,N,P,0,0,0,0,0,0,1,0,0,0,542,0,0
131,N,L,1,0,0,0,0,0,0,0,0,0,1956,0,0
132,N,K,0,0,0,0,0,0,1,0,0,0,649,0,0
133,N,N,0,0,0,1,0,0,0,0,0,0,53,0,0
134,Y,P,0,0,0,0,0,0,0,1,0,0,1964,0,0
135,Y,P,0,0,1,0,0,0,0,0,0,0,1972,0,0
136,N,N,0,0,0,0,0,0,0,0,0,1,1326,0,0
137,N,N,0,0,0,0,0,0,1,0,0,0,55,0,0
138,N,P,0,0,1,0,0,0,0,0,0,0,359,0,0
139,N,K,0,0,0,1,0,0,0,0,0,0,109,0,1
140,N,N,0,0,1,0,0,0,0,0,0,0,909,0,0
141,N,N,0,0,1,0,0,0,0,0,0,0,296,0,0
142,N,M,0,0,1,0,0,0,0,0,0,0,257,0,1
143,N,P,0,0,1,0,0,0,0,0,0,0,265,0,0
144,N,L,0,0,1,0,0,0,0,0,0,0,33,0,0
145,N,L,0,0,0,0,0,0,0,0,0,1,407,0,1
146,N,L,0,0,0,0,0,0,0,0,0,1,1915,0,0
147,N,N,0,0,0,0,0,0,1,0,0,0,39,0,0
148,N,L,0,0,0,0,0,0,0,0,0,1,306,0,0
149,N,P,0,0,0,0,0,0,1,0,0,0,63,0,0
150,N,M,0,0,1,0,0,0,0,0,0,0,412,0,1
151,N,P,0,0,1,0,0,0,0,0,0,0,145,0,0
152,N,K,1,0,0,0,0,0,0,0,0,0,187,0,0
153,Y,K,0,0,0,0,0,0,1,0,0,0,755,0,0
154,N,L,0,0,1,0,0,0,0,0,0,0,128,0,0
155,N,M,0,0,1,0,0,0,0,0,0,0,1051,0,1
156,N,K,0,0,0,0,0,0,1,0,0,0,92,0,0
157,N,L,0,0,1,0,0,0,0,0,0,0,711,0,0
158,Y,P,0,0,1,0,0,0,0,0,0,0,1064,0,0
159,N,K,0,0,1,0,0,0,0,0,0,0,206,0,0
160,Y,N,0,0,0,0,0,0,0,1,0,0,1047,0,0
161,N,K,0,0,1,0,0,0,0,0,0,0,682,0,0
162,Y,K,0,0,1,0,0,0,0,0,0,0,297,0,0
163,N,K,0,0,0,0,0,0,1,0,0,0,1710,0,0
164,N,L,0,0,1,0,0,0,0,0,0,0,433,0,0
165,N,P,0,0,1,0,0,0,0,0,0,0,1186,0,0
166,N,P,1,0,0,0,0,0,0,0,0,0,619,0,0
167,N,P,0,0,1,0,0,0,0,0,0,0,1890,0,0
168,N,N,0,0,0,1,0,0,0,0,0,0,837,0,0
169,N,P,0,0,1,0,0,0,0,0,0,0,312,0,0
170,N,K,0,0,1,0,0,0,0,0,0,0,777,0,0
171,N,K,0,0,0,1,0,0,0,0,0,0,87,0,0
172,N,K,0,0,1,0,0,0,0,0,0,0,1897,0,0
173,N,N,0,0,0,1,0,0,0,0,0,0,176,0,0
174,N,P,1,0,0,0,0,0,0,0,0,0,40,0,0
175,Y,P,0,0,1,0,0,0,0,0,0,0,569,0,0
176,N,K,0,0,1,0,0,0,0,0,0,0,1922,0,0
177,Y,P,0,0,1,0,0,0,0,0,0,0,204,0,0
178,N,P,0,0,0,1,0,0,0,0,0,0,55,0,0
179,N,K,0,0,1,0,0,0,0,0,0,0,879,0,0
180,N,L,0,0,0,0,1,0,0,0,0,0,32,0,0
181,Y,N,0,0,1,0,0,0,0,0,0,0,428,0,0
182,N,P,0,0,1,0,0,0,0,0,0,0,224,0,0
183,N,P,0,0,1,0,0,0,0,0,0,0,298,0,0
184,N,K,0,0,1,0,0,0,0,0,0,0,185,0,0
185,N,N,0,0,1,0,0,0,0,0,0,0,145,0,0
186,N,L,0,0,0,0,0,0,1,0,0,0,63,0,0
187,Y,P,0,0,0,0,0,0,0,1,0,0,256,0,0
188,N,M,0,0,1,0,0,0,0,0,0,0,463,0,1
189,N,K,0,0,1,0,0,0,0,0,0,0,612,0,0
190,Y,L,0,0,1,0,0,0,0,0,0,0,391,0,0
191,N,P,0,0,0,1,0,0,0,0,0,0,134,0,0
192,N,K,0,0,1,0,0,0,0,0,0,0,312,0,0
193,N,K,0,0,1,0,0,0,0,0,0,0,1324,0,0
194,N,N,0,0,1,0,0,0,0,0,0,0,1477,0,0
195,N,N,0,0,1,0,0,0,0,0,0,0,251,0,0
196,N,L,0,0,0,1,0,0,0,0,0,0,216,0,0
197,N,K,0,0,1,0,0,0,0,0,0,0,58,0,0
198,N,P,0,0,1,0,0,0,0,0,0,0,112,0,0
199,N,L,0,0,1,0,0,0,0,0,0,0,308,0,0
200,N,K,0,0,1,0,0,0,0,0,0,0,1426,0,0
201,N,K,0,0,1,0,0,0,0,0,0,0,928,0,0
202,N,L,0,0,1,0,0,0,0,0,0,0,317,0,0
203,N,L,0,0,1,0,0,0,0,0,0,0,86,0,0
204,N,L,0,0,0,0,0,0,1,0,0,0,145,0,0
205,N,N,0,0,1,0,0,0,0,0,0,0,944,0,0
206,N,P,0,0,1,0,0,0,0,0,0,0,91,0,0
207,N,L,0,0,1,0,0,0,0,0,0,0,613,0,0
208,N,M,0,0,1,0,0,0,0,0,0,0,473,0,1
209,N,L,0,0,1,0,0,0,0,0,0,0,28,0,0
210,N,L,0,0,0,1,0,0,0,0,0,0,436,0,0
211,N,N,0,0,0,1,0,0,0,0,0,0,1898,0,0
212,N,N,1,0,0,0,0,0,0,0,0,0,451,0,0
213,N,M,0,0,0,1,0,0,0,0,0,0,156,0,1
214,Y,M,0,0,0,0,0,0,1,0,0,0,525,0,1
215,N,K,0,0,0,1,0,0,0,0,0,0,240,0,0
216,Y,N,0,0,0,1,0,0,0,0,0,0,1884,0,0
217,N,P,0,0,0,1,0,0,0,0,0,0,452,0,0
218,N,L,0,0,0,1,0,0,0,0,0,0,405,0,0
219,N,N,0,0,0,1,0,0,0,0,0,0,48,0,0
220,N,N,0,0,0,0,0,0,1,0,0,0,96,0,0
221,N,K,0,0,0,1,0,0,0,0,0,0,83,0,0
222,N,M,0,0,0,1,0,0,0,0,0,0,105,0,1
223,N,L,0,0,0,1,0,0,0,0,0,0,327,0,0
224,N,L,0,0,0,1,0,0,0,0,0,0,249,0,0
225,N,M,0,0,0,1,0,0,0,0,0,0,406,0,1
226,N,L,0,0,0,1,0,0,0,0,0,0,152,0,0
227,N,N,0,0,0,0,0,0,1,0,0,0,66,0,0
228,N,L,0,0,0,1,0,0,0,0,0,0,1854,0,0
229,N,M,0,0,0,1,0,0,0,0,0,0,628,0,1
230,N,L,0,0,0,1,0,0,0,0,0,0,149,0,0
231,N,L,0,0,0,1,0,0,0,0,0,0,847,0,0
232,N,M,0,0,0,0,1,0,0,0,0,0,562,0,1
233,N,K,0,0,0,1,0,0,0,0,0,0,70,0,0
234,N,L,0,0,0,1,0,0,0,0,0,0,42,0,0
235,Y,K,0,0,0,0,0,0,1,0,0,0,834,0,0
236,N,N,0,0,0,1,0,0,0,0,0,0,1966,0,0
237,N,L,0,0,0,1,0,0,0,0,0,0,1025,0,0
238,N,L,0,0,0,0,0,0,1,0,0,0,180,1,1
239,N,M,0,0,0,1,0,0,0,0,0,0,200,0,1
240,N,M,0,0,0,1,0,0,0,0,0,0,120,0,1
241,N,N,1,0,0,0,0,0,0,0,0,0,142,0,0
242,N,L,0,0,0,1,0,0,0,0,0,0,556,0,0
243,N,P,0,0,0,1,0,0,0,0,0,0,491,0,0
244,N,L,0,0,0,1,0,0,0,0,0,0,1188,0,0
245,N,K,0,0,0,1,0,0,0,0,0,0,0,0,0
246,N,P,0,0,0,0,0,0,1,0,0,0,424,0,0
247,N,K,0,0,0,0,0,0,1,0,0,0,49,0,0
248,N,M,0,0,0,1,0,0,0,0,0,0,203,0,1
249,N,M,0,0,0,1,0,0,0,0,0,0,9,1,1
250,N,M,0,0,0,1,0,0,0,0,0,0,1913,1,1
251,N,N,0,0,0,1,0,0,0,0,0,0,515,1,1
252,N,L,0,0,0,1,0,0,0,0,0,0,1926,1,1
253,N,N,0,0,0,1,0,0,0,0,0,0,252,1,1
254,N,L,0,0,0,1,0,0,0,0,0,0,402,1,1
255,Y,L,0,0,0,0,0,0,1,0,0,0,127,1,1
256,N,P,0,0,0,1,0,0,0,0,0,0,1896,1,1
257,N,L,0,0,0,1,0,0,0,0,0,0,360,1,1
258,N,K,0,0,0,0,1,0,0,0,0,0,728,1,1
259,N,N,0,0,0,1,0,0,0,0,0,0,1907,1,1
260,N,L,0,0,0,1,0,0,0,0,0,0,884,1,1
261,N,M,0,0,0,1,0,0,0,0,0,0,271,0,1
262,N,L,0,0,0,1,0,0,0,0,0,0,148,0,0
263,N,K,0,0,0,1,0,0,0,0,0,0,674,0,0
264,N,M,0,0,0,1,0,0,0,0,0,0,1949,0,1
265,Y,K,0,0,0,1,0,0,0,0,0,0,663,0,0
266,N,L,0,0,0,1,0,0,0,0,0,0,71,0,0
267,N,L,0,0,0,1,0,0,0,0,0,0,328,0,0
268,N,K,0,0,0,1,0,0,0,0,0,0,295,0,0
269,N,P,0,0,0,1,0,0,0,0,0,0,525,0,0
270,N,L,0,0,0,1,0,0,0,0,0,0,651,0,0
271,N,P,0,0,0,0,0,0,1,0,0,0,95,0,0
272,Y,M,0,0,0,1,0,0,0,0,0,0,198,0,1
273,N,L,0,0,0,1,0,0,0,0,0,0,141,0,0
